"Code","Country","P_falciparum_Malaria_Incidence_Per_10k.sum","Dengue_Incidence_Per_10k.sum","Cutaneous_Leishmaniasis_Incidence_Per_10k.sum","Pasture_Mosaic_Area_ha_delta","Forest_Pasture_Mosaic_delta","area_mn_pasture_mosaic_delta","Agriculture_Area_ha_delta","Forest_Agriculture_delta","area_mn_agriculture_delta"
1100205,"Brazil",589.853293418299,389.470360024477,57.4569860971753,372875.220000002,380817,3.8929942702976,16848.36,12502,2.08035169988277
1100254,"Brazil",15.469103613574,489.590706577854,44.6229591286297,531.540000000008,2035,24.165304370878,-29.07,0,-1.66074324324324
1100262,"Brazil",2224.78233169911,394.167014648347,237.154542905718,-1120.41000000009,-1426,-31.859112195754,13588.29,1354,22.3727899159664
1100288,"Brazil",3.15091887926846,740.598619407246,106.449826741707,-529.290000000008,478,-24.988092865005,4118.85,295,20.8136585179527
1100296,"Brazil",2.46239456766789,352.03027879041,87.8294278231355,-3185.73000000001,6404,-117.437009536573,3232.53,466,9.80252595155708
1100304,"Brazil",13.9039054814737,1366.28074011933,296.622414927357,14039.91,51946,-3.2025192499487,8367.84,5345,-6.0935295701441
1100320,"Brazil",24.5503931722771,670.674148508993,127.825118044745,5630.94,-13599,-12.733778604451,16963.74,681,16.4829929634788
1100338,"Brazil",1369.52051278482,419.556828878057,153.134387951147,187413.57,58437,40.554827902989,1981.8,298,7.46494505494506
1100346,"Brazil",85.5285496067767,958.633876072369,89.0273666616825,2720.70000000001,-4546,7.205639924216,458.999999999999,11,0.43865111561867
1100379,"Brazil",5.9449841453808,547.77897257703,193.260281537202,12245.04,7934,0.733519852042996,1698.57,243,4.79187354138399
1100403,"Brazil",975.376820554077,245.339837273309,54.5586820633691,53285.13,-31226,24.9330321385662,13901.67,2353,29.8726555094787
1100452,"Brazil",272.337301261955,1045.69387805944,177.831969749334,75759.03,-20080,203.322698895685,111.78,33,0.70090909090909
1100502,"Brazil",1.85131141200686,781.113513831054,111.492084047143,1152.17999999999,-4487,-86.937271875,1876.23,350,32.4916071428571
1100601,"Brazil",86.3024151558067,255.738570272313,142.120840791894,8487.45000000001,679,23.533046531959,19.44,0,1.14352941176471
1100700,"Brazil",1286.13343728106,446.605381747119,155.590123397204,49887.99,-37500,49.356401702352,208.26,106,2.57614973262032
1100809,"Brazil",2970.38410383337,238.627031850361,0.721051683570851,60666.39,112178,-14.3563754024105,11497.41,1728,20.840327025101
1100908,"Brazil",54.6702581167723,277.429962585487,221.686025312599,1695.32999999999,-807,-16.952025142315,2851.92,306,14.2163346908553
1100924,"Brazil",115.11144178703,825.975486989879,340.573093754644,-16817.58,20922,-40.9245804721363,26800.47,785,3.3960290524615
1100940,"Brazil",3135.4643305173,210.296896228637,389.055781382006,83613.24,63761,-35.0915119049125,13671,2889,16.4708087291399
1101005,"Brazil",90.8935685972538,275.222378021193,153.936227807871,9651.69,3933,9.95283170429299,54.72,28,-0.3816
1101104,"Brazil",1732.41923181266,1118.19747255441,23.1047786722803,11814.9299999999,-10560,2.4370927557484,3531.42,1101,12.1423157248158
1101203,"Brazil",2.08008873847283,469.637243952291,75.5058099877327,1311.93,-2885,0.556084765855985,16.38,70,0.363116883116885
1101302,"Brazil",22.8241315257144,670.462454126468,132.794368100054,5291.82,-4345,12.94826333969,141.39,-13,0.94664451827243
1101401,"Brazil",327.667756880081,561.364796138315,187.571466126355,26499.15,-3839,36.150550578982,77.4,23,0.39609375
1101435,"Brazil",34.3995708199697,622.664415340782,35.8952295618455,6354.18000000001,-1970,96.030138655462,3.42000000000001,0,0.0675
1101450,"Brazil",7.5281337630808,907.989448859499,400.113009629838,4183.02,5150,6.2504240286805,1701.54,126,3.366034144427
1101468,"Brazil",212.16601791084,739.202938554148,61.4746181754797,-27868.23,-2188,-38.6215178497407,35277.03,3805,40.5301697177102
1101476,"Brazil",12.3235974607256,740.818133699353,154.831063973207,-766.619999999995,1782,-14.118858305084,860.76,144,2.69240480274443
1101484,"Brazil",0,1248.76384155213,112.565487294775,-629.010000000002,5089,-251.551527777778,351,25,1.212
1101492,"Brazil",114.789425793777,796.925026445296,221.821611334864,35174.97,-34887,27.7746253492898,3185.28,65,6.17717562020346
1101500,"Brazil",18.2186095500085,559.419859494165,98.8847988220929,20613.42,-271,-11.79986122645,4716.35999999999,53,5.66051672704025
